,,,89,10094.3,81.769,,,,,,,,
CPH,,217-9288 4945,11,1937.0,14.976,"120-80-100/1
120-80-146/10
",,TG0660,2/8/2023,HND,SS,GCR,CONSOLIDATION A
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",COL-ELI,TG0660,2/8/2023,HND,NN,GCR,CONSOL
BLL,,217-9406 4003,2,3.5,0.014,,,TG0660,2/8/2023,HND,SS,GCR,SHIP SPARES
OSL,,217-9111 3772,5,800.0,6.720,"120-80-140/5
",,TG0622,2/8/2023,KIX,SS,GCR,CONSOLIDATION A
BLL,,217-9288 3184,1,120.0,0.168,"80-60-35/1
",,TG0417,2/8/2023,KUL,SS,GCR,CONSOLIDATED CA
CPH,,217-9406 5930,2,28.0,0.120,,PIL-COL-PRI,TG0417,2/8/2023,KUL,SS,GCR,CONSOLIDATION A
CPH,,217-3059 0593,3,2230.0,25.308,"300-230-160/1
230-211-147/2
",,TG0461,2/8/2023,MEL,SS,GCR,CONSOLIDATION A
BLL,,217-9288 7686,4,14.1,0.098,,PRI,TG0407,2/8/2023,SIN,SS,GCR,SPARE PARTS FOR
BLL,,217-9288 7690,1,2.9,0.009,"22-22-18/1
",PRI,TG0409,2/8/2023,SIN,SS,GCR,SPARE PARTS FOR
CPH,,217-9288 7701,1,1.4,0.007,,,TG0407,2/8/2023,SIN,SS,GCR,SPARE PARTS FOR
CPH,,217-9288 7712,1,2.0,0.020,,,TG0409,2/8/2023,SIN,SS,GCR,SPARE PARTS FOR
OSL,,217-9281 5763,3,477.0,4.234,"120-80-147/3
",,TG0475,2/9/2023,SYD,UU,GCR,CONSOL
CPH,,217-9406 5926,2,30.0,0.115,,COL-PRI-PIL,TG0475,2/9/2023,SYD,NN,GCR,CONSOL
CPH,,217-9406 8015,2,27.0,0.186,"46-46-44/2
",PIL-CRT-PRI,TG0475,2/9/2023,SYD,SS,GCR,CONSOLIDATION A
BLL,,217-9287 6486,22,2448.1,13.220,"125-85-100/1
220-80-55/1
176-76-158/2
124-80-142/3
",,,,,,GCR,CONSOLIDATION A
CPH,,217-9288 9230,1,0.5,0.004,"26-20-7/1
",,,,,,GCR,CONSOLIDATION A
CPH,,217-9406 3222,7,1105.0,7.068,"80-60-93/1
120-80-159/1
120-80-128/4
",ELM,,,,,GCR,CONSOLIDATION A
CPH,,217-9406 6140,13,568.8,7.100,"120-80-140/2
120-80-87/1
120-80-100/1
",,,,,,GCR,CONSOLIDATION A
CPH,,217-9406 8004,2,28.0,0.115,"41-37-38/2
",PIL-COL-PRI,,,,,GCR,CONSOLIDATION A
